Year,Month,States Affected and Category by States,Category,Name,"Central Pressure","Max Wind"
1989,Aug,TX 1,1,Chantal,986,70
1989,Sep,SC 4; NC 1,4,Hugo,934,120
1989,Oct,TX 1,1,Jerry,983,75
1991,Aug,RI 2; MA 2; NY 2; CT 2,2,Bob,962,90
1992,Aug,FL 5; LA 3,5,Andrew,922,145
1993,Aug,NC 3,3,Emily,961,100
1995,Aug,FL 2,2,Erin,973,85
1995,Oct,FL 3; AL 1,3,Opal,942,100
1996,Jul,NC 2,2,Bertha,974,90
1996,Sep,NC 3,3,Fran,954,100
1997,Jul,LA 1; AL 1,1,Danny,984,70
1998,Aug,NC 2,2,Bonnie,964,95
1998,Sep,FL 1,1,Earl,987,70
1998,Sep,FL 2; MS 2,2,Georges,964,90
1999,Aug,TX 3,3,Bret,951,100
1999,Sep,NC 2,2,Floyd,956,90
1999,Oct,FL 1; NC 2,2,Irene,964,95
2002,Oct,LA 1,1,Lili,963,80
2003,Jul,TX 1,1,Claudette,979,80
2003,Sep,NC 2; VA 1,2,Isabel,957,90
2004,Aug,NC 1,1,Alex,972,70
2004,Aug,FL 4; SC 1; NC 1,4,Charley,941,130
2004,Aug,SC 1,1,Gaston,985,65
2004,Sep,FL 2,2,Frances,960,90
2004,Sep,AL 3; FL 3,3,Ivan,946,105
2004,Sep,FL 3,3,Jeanne,950,105
2005,Jul,LA 1,1,Cindy,991,65
2005,Jul,FL 3; AL 1,3,Dennis,946,105
2005,Aug,FL 1; LA 3; MS 3; AL 1,3,Katrina,920,110
2005,Sep,NC 1,1,Ophelia,982,65
2005,Sep,FL 1; LA 3; TX 2,3,Rita,937,100
2005,Oct,FL 3,3,Wilma,950,105
2007,Sep,TX 1; LA 1,1,Humberto,985,80
2008,Jul,TX 1,1,Dolly,967,75
2008,Sep,LA 2,2,Gustav,954,90
2008,Sep,TX 2; LA 1,2,Ike,950,95
2011,Aug,NC 1,1,Irene,952,75
2012,Aug,LA 1,1,Isaac,966,70
2012,Oct,NY 1,1,Sandy,942,65
2014,Jul,NC 2,2,Arthur,973,85
2016,Sep,FL 1,1,Hermine,981,70
2016,Oct,FL 2; GA 1; SC 1; NC 1,2,Matthew,963,85
